x	f(x)	S(x)	Error
0.0000	0.000000	0.000000	0.000000e+00
0.0250	0.024873	0.023488	1.384304e-03
0.0500	0.049482	0.046950	2.532078e-03
0.0750	0.073814	0.070357	3.457069e-03
0.1000	0.097857	0.093683	4.173339e-03
0.1250	0.121597	0.116901	4.695266e-03
0.1500	0.145022	0.139984	5.037548e-03
0.1750	0.168120	0.162905	5.215211e-03
0.2000	0.190879	0.185636	5.243611e-03
0.2250	0.213289	0.208151	5.138440e-03
0.2500	0.235338	0.230422	4.915729e-03
0.2750	0.257015	0.252423	4.591852e-03
0.3000	0.278310	0.274127	4.183530e-03
0.3250	0.299214	0.295506	3.707831e-03
0.3500	0.319716	0.316534	3.182180e-03
0.3750	0.339807	0.337183	2.624354e-03
0.4000	0.359478	0.357426	2.052489e-03
0.4250	0.378722	0.377237	1.485081e-03
0.4500	0.397529	0.396588	9.409886e-04
0.4750	0.415891	0.415452	4.394326e-04
0.5000	0.433802	0.433802	0.000000e+00
0.5250	0.451254	0.451616	3.620651e-04
0.5500	0.468241	0.468891	6.499872e-04
0.5750	0.484756	0.485627	8.713319e-04
0.6000	0.500793	0.501826	1.033296e-03
0.6250	0.516347	0.517489	1.142709e-03
0.6500	0.531411	0.532617	1.206030e-03
0.6750	0.545983	0.547212	1.229352e-03
0.7000	0.560056	0.561274	1.218397e-03
0.7250	0.573627	0.574805	1.178523e-03
0.7500	0.586692	0.587807	1.114722e-03
0.7750	0.599247	0.600279	1.031619e-03
0.8000	0.611291	0.612224	9.334759e-04
0.8250	0.622818	0.623643	8.241947e-04
0.8500	0.633829	0.634536	7.073159e-04
0.8750	0.644320	0.644906	5.860227e-04
0.9000	0.654290	0.654753	4.631423e-04
0.9250	0.663737	0.664078	3.411493e-04
0.9500	0.672661	0.672884	2.221676e-04
0.9750	0.681062	0.681170	1.079738e-04
1.0000	0.688938	0.688938	0.000000e+00
1.0250	0.696291	0.696190	1.004710e-04
1.0500	0.703120	0.702928	1.917272e-04
1.0750	0.709426	0.709154	2.721985e-04
1.1000	0.715211	0.714870	3.406452e-04
1.1250	0.720475	0.720079	3.961538e-04
1.1500	0.725222	0.724783	4.381326e-04
1.1750	0.729452	0.728985	4.663075e-04
1.2000	0.733168	0.732687	4.807175e-04
1.2250	0.736373	0.735891	4.817102e-04
1.2500	0.739070	0.738600	4.699365e-04
1.2750	0.741262	0.740816	4.463462e-04
1.3000	0.742953	0.742541	4.121825e-04
1.3250	0.744147	0.743778	3.689769e-04
1.3500	0.744847	0.744529	3.185437e-04
1.3750	0.745059	0.744796	2.629748e-04
1.4000	0.744787	0.744582	2.046336e-04
1.4250	0.744036	0.743890	1.461496e-04
1.4500	0.742811	0.742721	9.041216e-05
1.4750	0.741118	0.741077	4.056509e-05
1.5000	0.738962	0.738962	0.000000e+00
1.5250	0.736351	0.736379	2.868501e-05
1.5500	0.733288	0.733335	4.679791e-05
1.5750	0.729782	0.729839	5.645290e-05
1.6000	0.725839	0.725899	5.954145e-05
1.6250	0.721466	0.721524	5.773887e-05
1.6500	0.716670	0.716722	5.251088e-05
1.6750	0.711458	0.711503	4.512036e-05
1.7000	0.705838	0.705874	3.663401e-05
1.7250	0.699817	0.699845	2.792923e-05
1.7500	0.693403	0.693423	1.970094e-05
1.7750	0.686605	0.686617	1.246852e-05
1.8000	0.679430	0.679437	6.582736e-06
1.8250	0.671888	0.671890	2.232764e-06
1.8500	0.663986	0.663985	5.467990e-07
1.8750	0.655733	0.655731	1.868865e-06
1.9000	0.647138	0.647136	1.986770e-06
1.9250	0.638210	0.638209	1.287167e-06
1.9500	0.628959	0.628958	2.829083e-07
1.9750	0.619392	0.619393	3.940938e-07
2.0000	0.609520	0.609520	1.110223e-16
2.0250	0.599352	0.599350	2.055323e-06
2.0500	0.588898	0.588893	5.425692e-06
2.0750	0.578167	0.578158	9.596955e-06
2.1000	0.567169	0.567155	1.413836e-05
2.1250	0.555913	0.555895	1.869546e-05
2.1500	0.544410	0.544387	2.298303e-05
2.1750	0.532670	0.532643	2.677803e-05
2.2000	0.520701	0.520671	2.991254e-05
2.2250	0.508515	0.508483	3.226683e-05
2.2500	0.496121	0.496088	3.376238e-05
2.2750	0.483530	0.483496	3.435495e-05
2.3000	0.470752	0.470717	3.402775e-05
